c1,r1,w1,c2,r2,w2,benefit,concentration,inertia,reliability
0.717754697,1.814531917,0.279732288,0.283003493,0.115085519,0.670818686,-0.430238177,0.37907709,-0.989090909,-0.9455
0.720902715,1.87504739,0.43185617,0.221065137,0.047857745,0.164528931,-0.380397371,0.277585767,-0.98989899,-0.9732
0.720930234,1.345070469,0.357666514,0.236712847,0.072340444,0.870911964,-0.360009966,0.249344419,-0.989191919,-0.9931
0.708107498,1.871633541,0.879305557,0.125321179,0.404844716,0.177486417,-0.401518376,1.008389511,-1,-0.8959
0.707905149,1.871747211,0.861147337,0.127108842,0.403037605,0.165238809,-0.380273875,0.855618584,-0.99989899,-0.9226
0.721308049,1.874911039,0.429828353,0.122083978,0.4556989,0.061418864,-0.400744656,1.116512704,-1,-0.901
0.72089883,1.525340935,0.236959154,0.28182531,0.116742741,0.655984573,-0.530262397,0.544818836,-0.989191919,-0.8729
0.718033639,1.875803661,0.355980105,0.218085246,0.045591849,0.164665866,-0.530698582,0.527056675,-0.98989899,-0.8634
0.721284896,1.875803661,0.355980105,0.218085246,0.041542076,0.164665866,-0.544018459,0.548972829,-0.98979798,-0.8552
0.728016859,1.922745483,0.432437974,0.213429096,0.063124123,0.184441511,-0.500039034,0.47968237,-0.98989899,-0.8817
0.723179441,1.880010986,0.362774812,0.218782224,0.045584665,0.163399569,-0.470600125,0.423134416,-0.989393939,-0.9084
0.335593932,0.312814338,0.699139609,0.281321555,0.096653197,0.544874797,-0.510182198,0.505281203,-0.989393939,-0.889
0.277347935,0.431115822,0.607762247,0.304762897,1.286948671,0.135292356,-0.276699667,0.169598239,-0.98989899,-1
0.721284896,1.875803661,0.355980105,0.218085246,0.041542076,0.164665866,-0.550836222,0.549004712,-0.98979798,-0.8523
0.727828142,1.585486494,0.241301415,0.128821369,0.766931278,0.191822056,-0.400364942,1.128919371,-0.99959596,-0.9042
0.720902715,1.872234232,0.743593386,0.237993666,0.043045579,0.190866739,-0.410782725,0.335195559,-0.988181818,-0.9573
0.726335503,1.872913621,0.57304574,0.234101917,0.043044413,0.16050122,-0.400311563,0.314776694,-0.989393939,-0.9642
0.277132631,0.119315134,0.647082101,-0.130985391,1.298867888,0.176811991,-0.470485517,0.43582593,-0.985252525,-0.9181
0.285300833,0.126894152,0.652227213,-0.085996987,1.215936154,0.136336943,-0.390641812,0.317096372,-0.989494949,-0.9736
0.28545417,0.124990091,0.560539129,-0.131004812,1.249021912,0.107486464,-0.500356906,0.504381467,-0.98959596,-0.8927
0.720806279,1.587450606,0.246501492,0.281498863,0.117501385,0.537964008,-0.470482442,0.441578312,-0.989090909,-0.9174
0.72111122,1.571854822,0.593335572,0.278748692,0.117269223,0.929876314,-0.430005729,0.378926635,-0.986060606,-0.9463
0.726335503,1.872913621,0.499370159,0.234101917,0.043044413,0.16050122,-0.370369981,0.269375124,-0.98969697,-0.9846
0.727251107,1.385966163,0.305541585,0.240906668,0.071509792,0.626032073,-0.400132713,0.32156633,-0.988181818,-0.9652
0.349441315,0.514094087,0.320718127,0.225262974,1.571641554,0.334102907,-0.311313056,0.189962248,-0.98989899,-1
0.723108071,1.880010986,0.362764064,0.218104325,0.045764406,0.163641305,-0.460600027,0.401170644,-0.98979798,-0.9165
0.720860581,1.327498081,0.357666514,0.128602789,0.921777441,0.682489726,-0.350782341,0.471141573,-0.998686869,-0.9833
0.24153022,0.072587884,0.784618496,0.533783838,0.622711228,0.118985958,-0.420201274,0.338688302,-0.985050505,-0.9541
0.337485933,0.312814338,0.751424693,0.241972364,0.075458604,0.652757903,-0.390977639,0.303302471,-0.985050505,-0.9741
0.253868727,0.1028168,0.312253873,0.503764212,0.671036721,0.129978945,-0.360056838,0.283173317,-0.981818182,-0.9984
0.720961145,1.614111513,0.261220996,0.278748692,0.117269223,0.911830715,-0.460308565,0.417034705,-0.988080808,-0.926
0.727251107,1.385966163,0.305541585,0.240906668,0.071509792,0.626032073,-0.440310087,0.381658911,-0.987373737,-0.9371
0.720903241,1.871855937,0.706672521,0.237537281,0.042442661,0.19220187,-0.400040704,0.31408913,-0.987373737,-0.9661
0.726005798,1.841169904,0.445115711,0.237297955,0.045580368,0.160994069,-0.450121583,0.404698014,-0.988181818,-0.9299
0.727061575,1.584116296,0.172805275,0.251280339,0.074751555,0.214333593,-0.530897185,0.509952615,-0.982323232,-0.878
0.285469425,0.1200188,0.552558901,-0.113960518,1.355029891,0.135897041,-0.540541421,0.566005231,-0.98969697,-0.8644
0.283006345,0.128548625,0.645878697,-0.13107067,1.354354274,0.213386639,-0.370246189,0.289946938,-0.986666667,-0.9908
0.2813036,0.124725217,0.651839272,-0.153826489,1.303374937,0.113643477,-0.480727956,0.459094914,-0.988181818,-0.9094
0.244706357,0.072299207,0.61527771,0.496797701,0.755898036,0.385626891,-0.470486409,0.426768349,-0.983434343,-0.9181
0.241955282,0.072229875,0.672144403,0.520416682,0.668618191,0.162253177,-0.560244594,0.569144171,-0.984747475,-0.8533
0.261614575,0.103355815,0.613331922,0.502104497,0.644643119,0.188454196,-0.520092637,0.518453532,-0.981010101,-0.8821
0.281445685,0.124635083,0.411919056,-0.128942682,1.301533035,0.110064426,-0.530067898,0.541760416,-0.987575758,-0.8732
0.721259218,1.82894223,0.431945649,0.23651939,0.043005656,0.162081102,-0.45045738,0.397073897,-0.988080808,-0.9284
0.721247556,1.871214834,0.375342742,0.219836667,0.04311615,0.159753685,-0.440318481,0.382559216,-0.98989899,-0.9291
0.723179441,1.880010986,0.362774812,0.218782224,0.045584665,0.163399569,-0.45063781,0.401514269,-0.98989899,-0.9213
0.720902715,1.871092613,0.44857498,0.235429817,0.042927374,0.174651215,-0.371675806,0.269518697,-0.987575758,-0.9852
0.239858921,0.072499957,0.674724735,0.518244215,0.672749528,0.166914103,-0.450351052,0.400488399,-0.987070707,-0.9306
0.332722298,0.597003854,0.952061028,0.61904698,1.298448934,0.216318639,-0.32394709,0.199515615,-0.98989899,-1
0.640070995,1.78643663,0.049797834,0.512189216,1.403994002,0.377779254,-0.276201774,0.177966973,-1,-1
0.278860142,1.663629405,0.599734216,0.479564558,0.76404335,0.111458042,-0.235906253,0.158564488,-1,-1
0.244706357,0.072299207,0.61527771,0.496797701,0.755898036,0.34346195,-0.460306379,0.403694293,-0.983939394,-0.9262
0.285567896,0.127355781,0.329093715,-0.128735971,1.355035917,0.118388304,-0.46080736,0.441941801,-0.989090909,-0.9205
0.244706357,0.074168041,0.61527771,0.496797701,0.755898036,0.385626891,-0.43004965,0.363562187,-0.984848485,-0.9461
0.24153022,0.072587884,0.784618496,0.533783838,0.622711228,0.118612793,-0.510235938,0.484561254,-0.986060606,-0.8892
0.718596653,1.870793948,0.441748752,0.124958037,0.427507044,0.059801901,-0.410367913,1.214200419,-1,-0.8915
0.720840471,1.832041269,0.445505355,0.23695988,0.04168218,0.158762953,-0.450579075,0.397505788,-0.987777778,-0.9296
0.720537797,1.628296777,0.261373875,0.278748692,0.116698882,0.911406543,-0.550261631,0.562032404,-0.987676768,-0.8613
0.284594413,0.127699062,0.714177641,-0.124081681,1.290964672,0.117183008,-0.450231618,0.419594597,-0.989191919,-0.9283
0.726398304,1.883866087,0.497340599,0.234144306,0.043044465,0.160998119,-0.410450508,0.349173967,-0.989191919,-0.9552
0.728283408,1.922745483,0.261477278,0.211988137,0.063124123,0.184441511,-0.540994793,0.539452418,-0.98989899,-0.8522
0.721259218,1.82894223,0.431945649,0.23651939,0.043005656,0.162081102,-0.43046482,0.354982325,-0.988282828,-0.9446
0.721192562,1.588710571,0.138475244,0.281319678,0.119287104,0.686511794,-0.480348476,0.459748367,-0.989191919,-0.9088
0.24153022,0.072494339,0.784618496,0.533783838,0.620086491,0.118612793,-0.450062851,0.401425735,-0.985252525,-0.9321
0.720860581,1.327498081,0.357666514,0.128602789,0.921777441,0.682489726,-0.360015174,0.621725163,-0.999191919,-0.9663
0.281445685,0.124725217,0.831044995,-0.128942682,1.298184684,0.109821473,-0.501130378,0.499656156,-0.988282828,-0.8924
0.241955282,0.072229875,0.672144403,0.520416682,0.668618191,0.162253177,-0.490029007,0.484975574,-0.985050505,-0.9021
0.708107498,1.871633541,0.880338961,0.124909698,0.401439358,0.177486417,-0.42306557,1.261212739,-1,-0.8656
0.260701772,0.105449471,0.742348479,0.518076651,0.65456411,0.16034906,-0.410212189,0.328176676,-0.980505051,-0.9631
0.24153022,0.072229875,0.615937934,0.728735998,1.194056283,0.160592955,-0.440240314,0.380417671,-0.985151515,-0.9382
0.384878299,0.456071918,0.049187889,0.416705868,1.17059629,0.221160081,-0.332742237,0.206647969,-0.98989899,-1
0.281445685,0.124725217,0.645870483,-0.128942682,1.298184684,0.109821473,-0.420261423,0.355342357,-0.987171717,-0.9545
0.239035915,0.070509446,0.674101734,0.516650651,0.672625565,0.165954974,-0.410755506,0.339622955,-0.987373737,-0.9594
0.277663903,0.24756615,0.616964215,0.525834078,0.788158852,0.1072743,-0.352668093,0.225965056,-0.98989899,-1
0.222937233,0.315428128,0.668637417,0.247018179,0.932589175,0.200343097,-0.230544701,0.149627917,-0.98989899,-1
0.28545417,0.124990154,0.6831835,-0.131004812,1.304161507,0.139206538,-0.480450188,0.462368054,-0.989090909,-0.9093
0.728237353,1.535995562,0.246774073,0.251445438,0.076626302,0.296249786,-0.550401422,0.553138545,-0.982020202,-0.8624
0.727994545,1.853083554,0.422796514,0.236623176,0.042718022,0.161039987,-0.440947356,0.376401728,-0.988080808,-0.9366
0.244706357,0.074168041,0.61527771,0.496797701,0.755898036,0.385626891,-0.400065145,0.321958135,-0.984747475,-0.9671
0.28579441,0.128935265,0.662703401,-0.132715221,1.355446471,0.118130107,-0.400122431,0.337889963,-0.989292929,-0.9652
0.718482494,1.870793948,0.441748752,0.124958037,0.427507044,0.059801901,-0.431613977,1.424553794,-1,-0.8594
0.278930279,0.121646475,0.605822752,0.51591209,0.777758886,0.105767203,-0.470660166,0.438280695,-0.989090909,-0.9169
0.728399408,1.868548829,0.440986261,0.236704534,0.040361158,0.167716704,-0.563538698,0.564457871,-0.987272727,-0.8511
0.721284896,1.875803661,0.355980105,0.218085246,0.041542076,0.164665866,-0.520006456,0.508638017,-0.989191919,-0.8723
0.62020074,1.584494349,0.383962897,0.219388734,1.661845377,0.05271418,-0.315404227,0.206252658,-1,-1
0.281569032,0.124848428,0.33466528,-0.130984305,1.260929228,0.054856174,-0.492621388,0.47989062,-0.989191919,-0.8997
0.720848463,1.832041269,0.445505355,0.23695988,0.04168218,0.158762953,-0.52197699,0.501851584,-0.988080808,-0.88
0.241955282,0.072229875,0.672144403,0.520416682,0.668618191,0.162253177,-0.530275278,0.527169073,-0.985050505,-0.8748
0.238522056,0.072494339,0.784618496,0.529089879,0.620086491,0.118612793,-0.390364222,0.29421355,-0.988080808,-0.9733
0.24153022,0.072229875,0.615937934,0.501147541,0.6377834,0.160592955,-0.520332265,0.506444873,-0.985252525,-0.8816
0.718482494,1.870793948,0.441748752,0.124958037,0.427507044,0.059801901,-0.420664853,1.334858538,-1,-0.8758
0.721207228,1.881883926,0.675529798,0.237552917,0.041794094,0.162210883,-0.480654542,0.439705757,-0.987979798,-0.9086
0.337485933,0.312814338,0.551768062,0.241972364,0.075458604,0.652757903,-0.370150866,0.257437186,-0.985252525,-0.9908
0.721280351,1.871122847,0.386739349,0.124958037,0.4556989,0.085195302,-0.411932683,1.168651118,-1,-0.8836
0.708107498,1.851166444,0.614945538,0.125321179,0.420152876,0.177289391,-0.426237949,1.245984175,-1,-0.8585
0.708107498,1.871633541,0.880338961,0.124909698,0.401439358,0.177486417,-0.431121436,1.290862458,-1,-0.8556
0.447444886,0.960036816,0.260339899,0.283860122,1.246763577,0.530066353,-0.213267399,0.149320863,-1,-1
0.262573047,0.356486288,0.391827689,0.313755909,1.340962108,0.461368328,-0.255031082,0.159638512,-0.98989899,-1
0.721280351,1.871122847,0.431922812,0.124958037,0.4556989,0.060823534,-0.370629705,0.73328657,-1,-0.948
0.721308049,1.874911039,0.429828353,0.122083978,0.4556989,0.061418864,-0.381930748,0.887969755,-1,-0.9312
0.718482494,1.870793948,0.441748752,0.124958037,0.427507044,0.059801901,-0.43115981,1.407944514,-1,-0.8573
0.727433141,1.592118931,0.239317785,0.251280339,0.074751555,0.209851625,-0.480091988,0.450864978,-0.982222222,-0.9101
0.720900315,1.880010986,0.361707228,0.218782224,0.043043638,0.170143397,-0.490570232,0.464791466,-0.989494949,-0.8928
0.262080508,0.103355815,0.389211246,0.505022993,0.667404448,0.104061915,-0.530088274,0.515442642,-0.981414141,-0.8791
0.274011046,0.112578264,0.753410918,0.459539166,0.713786274,0.201507396,-0.54089224,0.538148919,-0.984848485,-0.8701
0.282730512,0.124950878,0.614025065,-0.133981434,1.244948642,0.082542733,-0.520335187,0.521675303,-0.989393939,-0.881
0.70776168,1.883866087,0.465320704,0.234906408,0.043045579,0.160998119,-0.400374099,0.309697449,-0.986666667,-0.964
0.28539123,0.124725217,0.432443114,-0.153826489,1.304535218,0.070709326,-0.490473667,0.483295865,-0.989494949,-0.9006
0.217293771,0.07115454,0.328082091,0.561855279,0.67202498,0.034896885,-0.451253118,0.399779511,-0.98989899,-0.9189
0.721259218,1.82894223,0.431945649,0.23651939,0.043005656,0.162081102,-0.520395634,0.501485722,-0.987777778,-0.8804
0.727994545,1.853492628,0.422796514,0.23734986,0.042649484,0.160688979,-0.560646104,0.564819597,-0.986868687,-0.8525
0.720896506,1.830361634,0.431945649,0.237689265,0.043047388,0.162081102,-0.550812369,0.544055287,-0.987676768,-0.8601
0.721259218,1.839766093,0.434718867,0.235817753,0.043005656,0.209578444,-0.510263336,0.479245168,-0.986262626,-0.8878
0.720902715,1.872234232,0.431945649,0.221219939,0.042532082,0.169949659,-0.370223988,0.257966249,-0.98979798,-0.9815
0.726177931,1.872895487,0.461991021,0.234961077,0.041509147,0.135923965,-0.390614367,0.292111081,-0.989292929,-0.9727
0.239035915,0.070509446,0.674101734,0.516650651,0.672625565,0.165954974,-0.440472992,0.378849523,-0.986868687,-0.9371
0.216109651,0.07115454,0.337207962,0.566197458,0.707365375,0.037051544,-0.480810905,0.43968296,-0.98969697,-0.8982
0.283396215,0.126669413,0.666038281,-0.152254865,1.257149323,0.080625178,-0.461845979,0.439993293,-0.989090909,-0.9195
0.217293771,0.069552904,0.333358122,0.561855279,0.67202498,0.037051544,-0.440309158,0.379660899,-0.98989899,-0.9278
0.278337464,0.119491068,0.729947769,-0.116176826,1.298448934,0.130809427,-0.520947285,0.518852161,-0.987171717,-0.8812
0.278930279,0.121646475,0.947642451,0.51591209,0.777758886,0.118455203,-0.520033329,0.51995917,-0.988181818,-0.8807
0.281306076,0.124725844,0.657061419,-0.153826489,1.303374937,0.10829832,-0.520488135,0.520775283,-0.988484848,-0.8812
0.721259218,1.839766093,0.432465017,0.23651939,0.043005656,0.209578444,-0.51006637,0.479676145,-0.985454545,-0.8885
0.718482494,1.870793948,0.441748752,0.124958037,0.427507044,0.059801901,-0.420455477,1.279857567,-1,-0.8748
0.240125892,0.121646475,0.619197183,0.520499176,0.665806629,0.162984014,-0.360142655,0.258056547,-0.98989899,-0.9951
0.27803114,0.119491298,0.405124781,-0.120551745,1.298463206,0.076197156,-0.530628012,0.53935461,-0.986868687,-0.8732
0.239613282,0.072499701,0.678553616,0.517995732,0.672603015,0.163092009,-0.43036543,0.358152607,-0.987474747,-0.9452
0.277598841,0.125279089,0.405124781,-0.120553277,1.298463206,0.075898793,-0.370058118,0.282687083,-0.984141414,-0.9911
0.245431655,0.076934601,0.61527771,0.496797701,0.762601234,0.385626891,-0.410057015,0.321635313,-0.985151515,-0.9628
0.723179441,1.880010986,0.362764064,0.218782224,0.045764406,0.163641305,-0.430327945,0.359436919,-0.98979798,-0.9365
0.728478964,1.368703669,0.304114888,0.243283308,0.074204098,0.650185943,-0.380234461,0.27931667,-0.986161616,-0.9822
0.721247556,1.871214834,0.375342742,0.219836667,0.04311615,0.159753685,-0.420726313,0.339981276,-0.98989899,-0.945
0.727994545,1.853083554,0.422796514,0.236623176,0.042718022,0.161039987,-0.510436431,0.48039348,-0.987777778,-0.8889
0.718596653,1.870793948,0.949794826,0.124958037,0.427507044,0.010218843,-0.340469058,0.24533348,-1,-1
0.24153022,0.072494339,0.784618496,0.533783838,0.620086491,0.118612793,-0.550730412,0.54682917,-0.985050505,-0.8613
0.563207299,1.603312482,0.375218797,0.710972441,1.823559652,0.973255557,-0.331900931,0.225051442,-1,-1
0.277722784,0.119491298,0.982526418,-0.119744263,1.298448934,0.216318639,-0.460673324,0.414902496,-0.986161616,-0.9263
0.721086911,1.872234232,0.743593386,0.237988136,0.043045579,0.191117616,-0.380184125,0.272891402,-0.988484848,-0.9811
0.721259218,1.82894223,0.431945649,0.23651939,0.043005656,0.162081102,-0.481344068,0.43899753,-0.988080808,-0.9078
0.568962568,1.544539094,0.687679954,0.31103356,1.30622453,0,-0.294857642,0.189510412,-1,-1
0.718281198,1.871122847,0.441748752,0.127561373,0.427507044,0.059801901,-0.390043776,0.979949358,-1,-0.9179
0.718482494,1.870793948,0.646815506,0.124958037,0.427507044,0.059801901,-0.360151789,0.615762639,-1,-0.9632
0.728070655,1.87250919,0.434268424,0.234947284,0.040375895,0.16246269,-0.552983949,0.573387678,-0.988383838,-0.8549
0.720902064,1.862902579,0.363624154,0.218782224,0.04565576,0.16070503,-0.511115373,0.486215315,-0.98989899,-0.8802
0.28564985,0.12667131,0.533159371,-0.126871304,1.385624138,0.110709417,-0.440728753,0.399761511,-0.989393939,-0.9371
0.720833698,1.831374505,0.431945649,0.237689265,0.043047388,0.165402335,-0.531022298,0.523034935,-0.987373737,-0.8727
0.718281198,1.871122847,0.441748752,0.127561373,0.427507044,0.059801901,-0.402839522,1.072771496,-1,-0.8995
0.718281198,1.871122847,0.441748752,0.127561373,0.427507044,0.059801901,-0.391686914,0.966992687,-0.99969697,-0.9169
0.286373779,0.126801547,0.626542813,-0.133307575,1.358442543,0.109875466,-0.412053431,0.359441661,-0.98979798,-0.9563
